Enable	Id	Name	Type	Rarity	Gender	LevelRequest	Price	Currency	IsAvailableInShop	IsFreeFirstTime	ShowInManual
TRUE	cos_mouth_008	Mouth 8	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_009	Mouth 9	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_010	Mouth 10	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_011	Mouth 11	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_012	Mouth 12	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_013	Mouth 13	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_014	Mouth 14	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_015	Mouth 15	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_016	Mouth 16	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_017	Mouth 17	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_018	Mouth 18	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_019	Mouth 19	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_mouth_020	Mouth 20	Mouth	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_hair_001	Hair 1	Hair	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_hair_002	Hair 2	Hair	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_hair_003	Hair 3	Hair	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_hair_004	Hair 4	Hair	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_hair_005	Hair 5	Hair	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_hair_006	Hair 6	Hair	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_hair_007	Hair 7	Hair	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_hair_008	Hair 8	Hair	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_hair_009	Hair 9	Hair	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_hair_010	Hair 10	Hair	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_hair_011	Hair 11	Hair	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_hair_012	Hair 12	Hair	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_hair_013	Hair 13	Hair	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_hair_014	Hair 14	Hair	Common		0	100	Coin	FALSE	TRUE	FALSE
TRUE	cos_hat_001	Cap	Hat	Common		0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_hat_002	Bucket Hat	Hat	Common		0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_hat_003	Beret	Hat	Common		0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_hat_004	Headphone	Hat	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_005	Bow	Hat	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_006		Hat	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_007		Hat	Common		5	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_008		Hat	Common		5	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_009		Hat	Common		5	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_010		Hat	Common		10	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_011		Hat	Common		10	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_012		Hat	Common		10	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_013		Hat	Common		10	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_014		Hat	Common		10	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_015		Hat	Common		20	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_016		Hat	Common		20	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_017		Hat	Common		20	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_018		Hat	Common		20	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_019		Hat	Common		30	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_020		Hat	Common		30	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_021		Hat	Common		30	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_hat_022		Hat	Common		30	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_001	T-shirt	Shirt	Common	Man	0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_man_shirt_002	Hoodies	Shirt	Common	Man	0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_man_shirt_003	Suit	Shirt	Common	Man	0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_man_shirt_004		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_005		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_006		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_007		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_008		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_009		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_010		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_011		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_012		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_013		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_014		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_015		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_016		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_017		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_018		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_019		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_man_shirt_020		Shirt	Common	Man	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_woman_shirt_001	T-shirt	Shirt	Common	Woman	0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_woman_shirt_002	Hoodies	Shirt	Common	Woman	0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_woman_shirt_003	Cardigan	Shirt	Common	Woman	0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_woman_shirt_004		Shirt	Common	Woman	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_woman_shirt_005		Shirt	Common	Woman	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_woman_shirt_006		Shirt	Common	Woman	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_woman_shirt_007		Shirt	Common	Woman	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_woman_shirt_008		Shirt	Common	Woman	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_woman_shirt_009		Shirt	Common	Woman	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_woman_shirt_010		Shirt	Common	Woman	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_woman_shirt_011		Shirt	Common	Woman	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_woman_shirt_012		Shirt	Common	Woman	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_woman_shirt_013		Shirt	Common	Woman	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_woman_shirt_014		Shirt	Common	Woman	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_woman_shirt_015		Shirt	Common	Woman	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_woman_shirt_016		Shirt	Common	Woman	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_woman_shirt_017		Shirt	Common	Woman	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_woman_shirt_018		Shirt	Common	Woman	0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_001	Slacks	Trousers	Common		0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_trousers_002	Shorts	Trousers	Common		0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_trousers_003	Jogger Pants	Trousers	Common		0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_trousers_004	Pleated Skirt	Trousers	Common		0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_trousers_005		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_006		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_007		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_008		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_009		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_010		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_011		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_012		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_013		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_014		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_015		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_016		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_017		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_018		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_019		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_020		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_021		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_022		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_023		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_024		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_trousers_025		Trousers	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_shoe_001	Slip-On Brown	Shoe	Common		0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_shoe_002	Slip-On Gray	Shoe	Common		0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_shoe_003	Flip-Flops	Shoe	Common		0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_shoe_004	Boots	Shoe	Common		0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_shoe_005	Slipper	Shoe	Common		0	100	Coin	TRUE	TRUE	TRUE
TRUE	cos_shoe_006		Shoe	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_shoe_007		Shoe	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_shoe_008		Shoe	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_shoe_009		Shoe	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_shoe_010		Shoe	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_bag_001	Bag	Bag	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_bag_002	Wing	Bag	Common		0	20000	Coin	TRUE	FALSE	TRUE
TRUE	cos_bag_003	Hammer	Bag	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_bag_004		Bag	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_bag_005		Bag	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_bag_006		Bag	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_bag_007		Bag	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_bag_008		Bag	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_bag_009		Bag	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_bag_010		Bag	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_bag_011		Bag	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_bag_012		Bag	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_acc_001	แว่น	Accessories	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_acc_002		Accessories	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_acc_003		Accessories	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_acc_004		Accessories	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_acc_005		Accessories	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_acc_006		Accessories	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_acc_007		Accessories	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_acc_008		Accessories	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_acc_009		Accessories	Common		0	100	Coin	TRUE	FALSE	TRUE
TRUE	cos_acc_010		Accessories	Common		0	100	Coin	TRUE	FALSE	TRUE
